title,slug,active_installs,relevance,review_count,avg_rating
WP Modal Popup with Cookie Integration,wp-modal-popup-with-cookie-integration,3000,0,8,4.5
WP Tab Widget,wp-tab-widget,70000,0,31,4.5
DsgnWrks Importer for Instagram,dsgnwrks-instagram-importer,4000,0,34,4.2
GS Logo Slider,gs-logo-slider,10000,0,76,4.7
Brands for WooCommerce,brands-for-woocommerce,800,0,6,5
Dynamic Conditions,dynamicconditions,2000,0,16,5
PPV Live Webcams &#8211; Paid Videochat,ppv-live-webcams,100,1,9,4.4
Advanced WooCommerce Product Gallery Slider,advanced-woocommerce-product-gallery-slider,1000,0,5,4.2
Simple User Registration,wp-registration,1000,0,26,4.5
"rtMedia for WordPress, BuddyPress and bbPress",buddypress-media,20000,0,135,3.8
Sina Extension for Elementor,sina-extension-for-elementor,1000,0,4,5
Post Sliders &amp; Post Grids,post-slider-carousel,2000,0,3,5
ManageWP Worker,worker,800000,0,508,4.8
Aparat,aparat,3000,0,10,5
Pearl Header Builder,pearl-header-builder,6000,0,5,4.8
Enjoy Instagram feed with Widget and Shortcode on WordPress website,enjoy-instagram-instagram-responsive-images-gallery-and-carousel,10000,0,71,4.3
ImageLinks Interactive Image Builder for WordPress,imagelinks-interactive-image-builder-lite,2000,0,8,4.3
OG,og,10000,0,71,4.8
Social Media Flying Icons | Floating Social Media Icon,floating-social-media-icon,30000,0,575,4.8
Free Responsive iframe Video Embeds,free-responsive-iframe-video-embeds,300,1,1,5
Livemesh Addons for Beaver Builder,addons-for-beaver-builder,3000,0,9,5
VenoBox Lightbox,venobox-lightbox,1000,0,8,4.4
Simple Documentation,client-documentation,800,0,15,4
Velocity &#8211; WordPress Lazy Load for Video and Audio,velocity,500,1,4,5
WP Google Analytics Events,wp-google-analytics-events,20000,0,29,4.6
WordPress fancyBox Lightbox,wp-fancybox,600,0,2,5
Modula Image Gallery,modula-best-grid-gallery,50000,0,127,4.6
Video Player Gallery with Responsive,video-player-gallery,100,1,0,0
Aparat Responsive,aparat-responsive,1000,0,4,4
Menu Swapper,menu-swapper,8000,0,41,4.7
IdeaPush,ideapush,500,0,17,4.6
WP Migrate DB,wp-migrate-db,300000,0,206,4.6
Niso Carousel,niso-carousel,100,0,3,5
Cloudflare Stream Video,cloudflare-stream,30,1,0,0
Album Gallery &#8211; WordPress Gallery,new-album-gallery,1000,0,12,5
Ads by datafeedr.com,ads-by-datafeedrcom,9000,0,31,4.3
PeepSo &#8211; User Profile and Social Networking Plugin,peepso-core,3000,0,104,4.4
Themify Builder,themify-builder,10000,0,9,5
WP Night Mode,wp-night-mode,900,0,10,4.2
Pricing Table by PickPlugins,pricingtable,4000,0,17,5
Multiline files upload for contact form 7,multiline-files-for-contact-form-7,3000,0,14,4.6
DobsonDev Shortcodes,dobsondev-shortcodes,400,0,5,5
Theme Blvd Layout Builder,theme-blvd-layout-builder,8000,0,5,5
Updater by BestWebSoft,updater,8000,0,53,4.7
Shortcodes Elements,shortcodes-elements,400,0,3,5
Slider Carousel &#8211; Responsive Image Slider,slider-images,10000,0,45,4.6
WP Ultimate Recipe,wp-ultimate-recipe,10000,0,71,4.5
Wp-Insert,wp-insert,20000,0,133,4.5
Dashboard Welcome for Elementor,dashboard-welcome-for-elementor,6000,0,8,5
MailPoet Newsletters (Previous),wysija-newsletters,200000,0,2722,4.8
WHA Crossword,wha-crossword,80,0,1,5
Responsive Slick Slider WordPress,responsive-slick-slider,600,0,1,4
Directorist &#8211; Business Directory Plugin,directorist,2000,0,24,4.7
PB Addons for WPBakery Page Builder (Visual Composer),vc-addons-by-bit14,2000,0,5,4.2
Booking Calendar,booking,50000,0,359,4.7
WpStream,wpstream,500,0,2,5
Wp anything slider,wp-anything-slider,1000,0,6,4.2
Cool Timeline,cool-timeline,10000,0,138,4.6
StagTools,stagtools,6000,0,4,5
Podlove Podcast Publisher,podlove-podcasting-plugin-for-wordpress,5000,0,35,4.6
WPC Product Videos for WooCommerce,woo-product-videos,200,1,3,2.3
WordPress Meta Data and Taxonomies Filter (MDTF),wp-meta-data-filter-and-taxonomy-filter,9000,0,25,4.6
Estatik Real Estate Plugin,estatik,3000,0,106,4.8
DIVI Section Enhancer,dse-divi-section-enhancer,1000,0,3,5
WordPress Page Builder by MotoPress,motopress-content-editor-lite,10000,0,94,4.8
"Free WhatsApp, Messenger, Telegram, Email, SMS, Maps, Chat &amp; Call button &#8211; Chaty",chaty,8000,0,58,4.9
Timber,timber-library,30000,0,59,4.9
Translate WP website &#8211; Weglot Translate,weglot,20000,0,864,4.9
WOOCS &#8211; Currency Switcher for WooCommerce. Multi Currency and Multi Pay for WooCommerce,woocommerce-currency-switcher,40000,0,73,4
List category posts,list-category-posts,100000,0,226,4.7
WP GoToWebinar,wp-gotowebinar,1000,0,9,5
Facebook Button by BestWebSoft,facebook-button-plugin,20000,0,70,4
Sell Downloads,sell-downloads,500,0,18,4.2
Custom Instagram Feed,easy-instagram-feed,6000,0,20,4.4
Product Tabs Manager for WooCommerce,product-tabs-manager-for-woocommerce,800,0,8,4.8
Toolbox for Beaver Builder,bb-toolbox,500,0,4,5
lightGallery,lightgallery,900,0,1,5
Cookiebot | GDPR Compliant Cookie Consent and Notice,cookiebot,30000,0,90,4.1
Nimble Page Builder,nimble-builder,30000,0,22,4.9
DELUCKS SEO,delucks-seo,1000,0,12,4.8
Salon booking system,salon-booking-system,5000,0,100,4.5
Easy Upload Files During Checkout,easy-upload-files-during-checkout,1000,0,43,4.7
Advance Portfolio Grid,advance-portfolio-grid,1000,0,22,4.2
VidYen Point System,vidyen-point-system-vyps,100,0,6,5
Algori Video and Image Slider,algori-image-video-slider,100,1,0,0
Gallery Pro,gallery-pro,1000,0,11,3.9
WP Scraper,wp-scraper,3000,0,17,4.5
HT Mega &#8211; Absolute Addons for Elementor Page Builder,ht-mega-for-elementor,10000,0,16,4.4
Dashboard Welcome for Beaver Builder,dashboard-welcome-for-beaver-builder,3000,0,6,5
WP Categories Widget,wp-categories-widget,2000,0,4,5
iPanorama 360 WordPress Virtual Tour Builder,ipanorama-360-virtual-tour-builder-lite,6000,0,7,3.7
Woo Shortcodes Kit,woo-shortcodes-kit,2000,0,14,5
Image Hover Effects Css3,image-hover-effects-css3,2000,0,19,4.6
Pagination by BestWebSoft,pagination,7000,0,36,4.9
Modal Popup Box &#8211; Popup Builder,modal-popup-box,900,0,8,4.3
CF7 Spreadsheets,cf7-spreadsheets,300,0,11,4.9
Minimum Purchase for WooCommerce,minimum-purchase-for-woocommerce,4000,0,34,4.1
Responsive Gallery,responsive-photo-gallery,8000,0,67,4
Smiling Video player and video content,smiling-video,50,1,2,5
Pods Beaver Themer Add-On,pods-beaver-builder-themer-add-on,5000,0,26,5
Weaver Xtreme Theme Support,weaverx-theme-support,10000,0,4,5
WOOF &#8211; Products Filter for WooCommerce,woocommerce-products-filter,70000,0,101,4.5
Easy Image Collage,easy-image-collage,6000,0,19,4.7
"Astra Starter Sites – Elementor, Beaver Builder &amp; Gutenberg Templates",astra-sites,100000,0,15,4.8
Simple Video Monetization,adreclick-free,30,1,0,0
KVS Player,kvs-flv-player,1000,0,2,3
Subscriber by BestWebSoft,subscriber,3000,0,10,4.6
WooCommerce Image Zoom,woocommerce-image-zoom,8000,0,15,4.1
Pootle Pagebuilder &#8211; WordPress Page builder,pootle-page-builder,4000,0,33,3.9
Variation Swatches for WooCommerce,woo-variation-swatches,60000,0,173,5
Photo Gallery WordPress,responsive-photo-gallery-wp,400,0,0,0
Sitelinks Search Box,sitelinks-search-box,5000,0,6,5
Scroll Triggered Box / Slide Box,slide-box,300,0,2,5
"Responsive Image Gallery, Gallery Album",gallery-album,1000,0,6,5
Art Decoration Shortcode,art-decoration-shortcode,4000,0,3,5
Video Tab For WooCommerce,video-tab-for-woocommerce,3000,1,0,0
Responsive Videos,responsive-youtube-videos,200,1,3,4.3
iThemes Security (formerly Better WP Security),better-wp-security,900000,0,3820,4.7
Helpie FAQ &#8211; WordPress FAQ Accordion Plugin,helpie-faq,300,0,6,5
CM Tooltip Glossary,enhanced-tooltipglossary,9000,0,118,4.3
Contact Form to DB by BestWebSoft,contact-form-to-db,2000,0,11,4.4
Tabs &#8211; Responsive Tabs with  Accordions,vc-tabs,7000,0,49,4.8
Zedna WP Image Lazy Load,wp-image-lazy-load,1000,0,14,4.6
Transposh WordPress Translation,transposh-translation-filter-for-wordpress,20000,0,96,4.3
WP YouTube Video Optimizer,wp-youtube-video-optimizer,70,2,3,3.7
Google Analytics by BestWebSoft,bws-google-analytics,4000,0,23,4.7
Woocommerce Single Product Page Customizer,woo-single-product-page-customizer,3000,0,3,5
Encyclopedia / Glossary / Wiki,encyclopedia-lexicon-glossary-wiki-dictionary,2000,0,134,3.6
WP Crowdfunding,wp-crowdfunding,3000,0,51,4.4
AE Fb Video Embed,ae-fb-video-embed,700,1,2,5
Dadevarzan WordPress Video,dadevarzan-wp-video,30,1,0,0
Fourteen Colors,fourteen-colors,20000,0,47,4.8
YITH WooCommerce Tab Manager,yith-woocommerce-tab-manager,6000,0,16,3.5
WP Content Copy Protection,wp-content-copy-protection,30000,0,140,3.5
Customize Admin,customize-admin,6000,0,5,3.6
TechGasp Youtube Master,youtube-master,700,1,18,3.6
Site Offline Or Coming Soon Or Maintenance Mode,site-offline,20000,0,140,4.8
Shopping Cart &amp; eCommerce Store,wp-easycart,5000,0,121,4.4
Responsive Portfolio &#8211; Responsive Image Gallery,responsive-portfolio,2000,0,34,4.3
Testimonial – Best Testimonial Slider Plugin for WordPress,testimonial-free,10000,0,26,4.1
MyCurator Content Curation,mycurator,2000,0,18,4.5
User Role by BestWebSoft,user-role,4000,0,9,4.1
Pixel Caffeine,pixel-caffeine,40000,0,23,4.5
Amp Stories for WordPress,amp-story,200,0,3,5
Tabs,tabs-responsive,20000,0,327,4.7
"WP User Frontend &#8211; Membership, Profile, Registration &amp; Post Submission Plugin for WordPress",wp-user-frontend,20000,0,249,4
AWSM Team,awsm-team,3000,0,2,5
Video Backgrounds for SiteOrigin Page Builder,video-backgrounds-for-siteorigin-page-builder,10000,1,11,4.5
Testimonials Widget,testimonials-widget,40000,0,114,4.3
Resume Builder,resume-builder,6000,0,13,4.4
WP Bodymovin,wp-bodymovin,2000,0,6,5
Demo Awesome,demo-awesome,1000,0,1,5
Custom Login,custom-login,60000,0,95,3.7
Itm Simple Hide,itm-simple,100,0,1,5
The Visual Editor,zedity,5000,0,101,4.5
Unlimited Addons for WPBakery Page Builder,unlimited-addons-for-wpbakery-page-builder,10000,0,8,3.1
Elementor Addons &#8211;  PowerPack Lite for Elementor,powerpack-lite-for-elementor,5000,0,15,4.7
Social Media Icons &#8211; Social Icons Widget,new-social-media-widget,4000,0,16,4.8
DPlayer for WordPress,dplayer-for-wp,200,0,2,5
Featured Video Plus,featured-video-plus,30000,1,73,4.8
mb.vimeoPlayer for background videos,wp-vimeoplayer,60,1,3,5
Learning Courses,nd-learning,2000,0,12,4
WRC Pricing Tables,wrc-pricing-tables,3000,0,24,4.4
Word Search Puzzles game,wha-wordsearch,200,0,4,4.8
WidgetKit for Elementor,widgetkit-for-elementor,20000,0,24,4.7
SeedX Video Gallery for WooCommerce,seedx-video-gallery-for-woocommerce,30,1,2,5
Coming soon and Maintenance mode,coming-soon-page,20000,0,78,4.2
YouTube FancyBox,youtubefancybox,500,1,7,3.3
WCFM Membership &#8211; WooCommerce Memberships for Multivendor Marketplace,wc-multivendor-membership,10000,0,10,5
TechGasp Vimeo Master,vimeo-master,1000,0,10,2.9
Hummingbird – Speed Up WordPress,hummingbird-performance,70000,0,464,4.8
Unyson,unyson,200000,0,72,4.2
Easy FancyBox,easy-fancybox,300000,0,161,4.6
Amazing Hover Effects,amazing-hover-effects,3000,0,100,4.3
Multi Step Form,multi-step-form,10000,0,24,4.5
WPB WooCommerce Custom Tab Manager,wpb-woocommerce-custom-tab-manager,1000,0,10,4.3
Snippy,snippy,400,0,4,5
"Image Gallery &#8211; Lightbox Gallery, Responsive Gallery",new-image-gallery,3000,0,33,4.7
Essential WPBakery Page Builder (formerly Visual Composer) Addons,vc-shortcodes,9000,0,17,3.1
Elements Plus!,elements-plus,10000,0,17,5
Udinra All Image Sitemap,udinra-all-image-sitemap,10000,0,48,4
PayPal Donation,easy-paypal-donation,20000,0,17,4.4
WP Subscribe,wp-subscribe,30000,0,23,4
WP Upload Size,wp-upload-size,2000,0,3,5
WP Snow Effect,wp-snow-effect,2000,0,186,4.9
Pre* Party Resource Hints,pre-party-browser-hints,1000,0,7,5
White Label Branding for Elementor Page Builder,white-label-branding-elementor,1000,0,7,5
Video Block with Ads,video-block-with-ads,0,1,0,0
Embed Any Document,embed-any-document,60000,0,63,4.3
hashtagger,hashtagger,1000,0,26,4.7
XT WooCommerce Floating Cart,woo-floating-cart-lite,4000,0,16,4.4
WP Mapbox GL JS Maps,wp-mapbox-gl-js,1000,0,8,4
Message ticker,message-ticker,1000,0,2,4
External Videos,external-videos,300,1,5,3.6
vooPlayer v4,vooplayer,1000,0,18,3.3
wordpress responsive thumbnail carousel slider,wp-responsive-thumbnail-slider,6000,0,23,4.4
StoreYa&#039;s Shop to Facebook for WooCommerce,facebook-shop-by-storeyacom,5000,0,26,3.6
Slider Pro,slider-pro-lite,800,0,1,5
Modal Portfolio,modal-portfolio,500,0,6,3.7
404page &#8211; your smart custom 404 error page,404page,100000,0,470,4.9
Stylish Price List,stylish-price-list,1000,0,24,4.8
Savvii WP Migrate,savvii-wp-migrate,700,0,1,5
Limit Attempts by BestWebSoft,limit-attempts,10000,0,36,4.6
AMP WP &#8211; Google AMP For WordPress,amp-wp,1000,0,28,4.2
Sapo Videos oEmbed,sapo-videos-o-embed,0,1,1,5
LidPlay Player,lidplay,200,0,18,4.4
Ultimate Reviews,ultimate-reviews,3000,0,41,4.2
Google Analytics Dashboard Plugin for WordPress by Analytify,wp-analytify,40000,0,254,4.8
Fullwidth Templates for Any Theme &amp; Page Builder,fullwidth-templates,30000,0,23,4.8
Request a Quote,request-a-quote,2000,0,24,4.9
Editorial Calendar,editorial-calendar,40000,0,72,4.9
WooCommerce Product Attachment,woo-product-attachment,2000,0,8,4.5
WPeMatico RSS Feed Fetcher,wpematico,20000,0,286,4.8
RumbleTalk Live Group Chat &#8211; HTML5,rumbletalk-chat-a-chat-with-themes,1000,0,32,4.3
Find Posts Using Attachment,find-posts-using-attachment,1000,0,17,4.5
Universal Slider,fusion-slider,3000,0,3,5
Page Builder: PageLayer &#8211; Drag and Drop website builder,pagelayer,40000,0,1,5
"Flux Pearl Page Builder, Visual Editor, Web Page Builder HTML Editor, Page Designer, Site builder WYSWYG",fluxlive,1000,0,17,4.4
"WordPress Share Buttons, Related Posts, Google Analytics &#8211; Shareaholic",shareaholic,80000,0,788,4.2
Publitio,publitio,200,0,1,5
Landing Page,ultimate-landing-page-and-coming-soon-page,3000,0,23,3.4
Keywords to Links Converter,links-auto-replacer,2000,0,5,3.6
WP Accessibility Tools &amp; Missing Alt Text Finder,tool-for-ada-section-508-and-seo,700,0,14,4.9
WP eCommerce,wp-e-commerce,20000,0,258,3.4
Htaccess by BestWebSoft,htaccess,2000,0,2,4
Use Any Font [ Freemium ],use-any-font,100000,0,825,4.7
Mihdan: Ajax Edit Comments,wp-ajax-edit-comments,2000,0,18,4.4
Ultimate Dashboard,ultimate-dashboard,2000,0,5,4.6
Social Boost,social-boost,500,0,7,5
Premium Portfolio Features for Phlox theme,auxin-portfolio,10000,0,5,4.2
Music Press Pro,music-press-pro,700,0,11,4.6
Advanced Youtube Channel Pagination,advanced-youtube-channel-pagination,100,1,5,5
Advanced iFrame,advanced-iframe,50000,0,38,4.3
Gravity Forms Advanced File Uploader,gravity-forms-advanced-file-uploader,3000,0,28,4.6
Force Sell for WooCommerce,force-sell-for-woocommerce,500,0,2,5
WOOBE &#8211; Products Bulk Editor for WooCommerce,woo-bulk-editor,20000,0,24,4.5
Gosign &#8211; Masonry Post Block,gosign-masonry-post-block,400,0,6,5
CB Disable Comment URL,cb-disable-comment-url,600,0,2,5
Patreon WordPress,patreon-connect,2000,0,19,3.3
Blogger To WordPress,blogger-to-wordpress-redirection,6000,0,22,4.5
Quotes and Tips by BestWebSoft,quotes-and-tips,700,0,6,5
Easy Testimonial Slider and Form,easy-testimonial-rotator,1000,0,3,5
WP Notes Widget,wp-notes-widget,2000,0,10,4.5
WP Courses LMS,wp-courses,500,0,3,4.7
Stencil,stencil,1000,0,5,5
Popup Builder,easy-notify-lite,1000,0,17,3.5
IgniteUp &#8211; Coming Soon and Maintenance Mode,igniteup,30000,0,40,4.7
Symbiostock &#8211; Sell Your Images!,symbiostock,700,0,39,4.3
Fusion Page Builder,fusion,6000,0,12,5
Youtube Subtitle Grabber,grab-youtube-subtitle,100,1,3,5
Olevmedia Shortcodes,olevmedia-shortcodes,10000,0,25,4.8
File Manager,wp-file-manager,400000,0,544,4.8
Twitter Button by BestWebSoft,twitter-plugin,5000,0,16,4.6
Custom Search by BestWebSoft,custom-search-plugin,2000,0,28,3.9
Responsive Pricing Table,dk-pricr-responsive-pricing-table,20000,0,67,4.6
SmartVideo,smartvideo,100,1,1,5
WooCommerce Table Rate Shipping by JEM,woocommerce-easy-table-rate-shipping,7000,0,30,4.5
Essential Premium Addons for Elementor,essential-premium-addons-for-elementor,1000,0,10,4.3
WooCommerce AddressFinder,addressfinder-woo,500,0,2,5
Custom Adminbar Menus,custom-adminbar-menus,400,0,9,4.8
BlossomThemes Feed For Instagram,blossomthemes-instagram-feed,10000,0,2,4.5
WP Gfycat,wp-gfycat,300,0,6,4.7
Stream Status for Twitch,stream-status-for-twitch,1000,0,4,4.3
Easy AdSense Ads &#8211; Ad Inserter &amp; AdSense Ad Manager,easy-adsense-ads-scripts-manager,6000,0,20,4.9
T-Shirt Designer,tshirt-designer,500,0,7,4.4
Easy Coming Soon,easy-coming-soon,10000,0,109,4.5
Insert Html Snippet,insert-html-snippet,30000,0,170,4.9
Contact Form Multi by BestWebSoft,contact-form-multi,1000,0,3,3.7
CM Ad Changer,cm-ad-changer,700,0,19,3.9
WooCommerce LightBox,woocommerce-lightbox,3000,0,27,3.1
Gallery PhotoBlocks,photoblocks-grid-gallery,4000,0,54,5
Uix Shortcodes &#8211; Compatible with Gutenberg,uix-shortcodes,1000,0,5,5
Form plugin for WordPress &#8211; Zoho Forms,zoho-forms,5000,0,4,2.5
"Relevant &#8211; Related, Featured, Latest, and Popular Posts by BestWebSoft",relevant,1000,0,11,4
Maintenance Mode,maintenance-mode-free,2000,0,7,3.1
SearchIQ &#8211; The Search Solution,searchiq,1000,0,110,4.9
YouTube Playlists with Schema,jma-youtube-playlists-with-schema,100,1,4,5
WP fancyBox3,wp-fancybox-3,1000,0,4,5
SR Product 360&#176; View,sr-product-360o-view,100,0,8,5
Multilanguage by BestWebSoft,multilanguage,10000,0,76,4
"Like, Share &amp; Follow Buttons",new-facebook-like-share-follow-button,1000,0,6,3.7
Fluid Video Embeds,fluid-video-embeds,10000,1,42,4.9
Visitors Traffic Real Time Statistics,visitors-traffic-real-time-statistics,40000,0,111,4.2
Contests by Rewards Fuel,contests-from-rewards-fuel,1000,0,48,4.2
WordPress RSS Feed Retriever,wp-rss-retriever,5000,0,30,4.9
Schema,schema,60000,0,174,4.6
WooCommerce Chilexpress Shipping,woo-chilexpress-shipping,600,0,4,5
Easy Blocks – Gutenberg Blocks Page Builder,ultimate-blocks-for-gutenberg,1000,0,14,4.7
ConvertPlayer &#8211; Make Your Videos Work Harder,convertplayer-video-lead-capture-player-for-youtube-vimeo,200,1,2,4.5
WP Mautic,wp-mautic,9000,0,7,4.9
WP Content Pilot &#8211; Autoblog &amp; Affiliate Marketing Plugin,wp-content-pilot,800,0,1,5
Transcoder,transcoder,2000,0,3,5
Social Media Buttons,social-media-button,2000,0,2,5
User Activity Tracking and Log,user-activity-tracking-and-log,1000,0,7,3.9
iFlyChat &#8211; WordPress Chat,iflychat,4000,0,95,4.6
YITH WooCommerce Subscription,yith-woocommerce-subscription,5000,0,11,3
WP Landing Pages,wp-landing-pages,1000,0,8,4
Widgets for SiteOrigin,widgets-for-siteorigin,40000,0,35,4.2
NextScripts: Social Networks Auto-Poster,social-networks-auto-poster-facebook-twitter-g,100000,0,511,3.7
Advanced Floating Content,advanced-floating-content-lite,10000,0,23,4.3
Gallery for Instagram,feed-instagram-lite,1000,0,1,5
Split Test For Elementor,split-test-for-elementor,1000,0,7,5
Magic Action Box,magic-action-box,10000,0,26,4.2
F2 Tumblr Widget,f2-tumblr-widget,1000,0,4,5
Wp photo text slider 50,wp-photo-text-slider-50,500,0,1,2
WP SEO Structured Data Schema,wp-seo-structured-data-schema,40000,0,58,4.3
PayPal for Digital Goods,paypal-for-digital-goods,900,0,5,3.2
CM Pop-Up banners for WordPress,cm-pop-up-banners,10000,0,10,4.2
Simplest Gallery Plugin,simplest-gallery,4000,0,19,4.1
Play Pause Button for Video,play-pause-button-for-video,40,1,0,0
Contact &#8211; Registration &#8211; Post Form Builder &amp; FrontEnd Editor BuddyForms &#8211; Making WordPress Forms A Breeze,buddyforms,3000,0,109,4.7
BuddyForms Members,buddyforms-members,700,0,18,4.1
GS WooCommerce Products Slider,gs-woocommerce-products-slider,1000,0,5,4.2
Provide Support Live Chat,provide-support-live-chat,500,0,8,4.3
Popup with fancybox,popup-with-fancybox,3000,0,11,3.5
Best Quiz Plugin for WordPress: WP Quiz,wp-quiz,10000,0,23,3.3
Beamer &#8211; newsfeed and push notifications,beamer,600,0,12,4.8
SMTP by BestWebSoft,bws-smtp,3000,0,13,4.4
Custom Login Page Customizer &#8211; Login Designer,login-designer,9000,0,56,4.9
Art WooCommerce Order One Click,art-woocommerce-order-one-click,1000,0,16,5
"Poll, Survey, Form &amp; Quiz Maker by OpinionStage",social-polls-by-opinionstage,10000,0,256,4.5
Gallery For Instagram,gallery-for-instagram,1000,0,9,2.8
The Events Calendar Shortcode &amp; Block,the-events-calendar-shortcode,20000,0,51,4.5
Upload File Type Settings Plugin,upload-file-type-settings-plugin,800,0,6,4.7
WooCommerce Product Filter by WooBeWoo,woo-product-filter,1000,0,5,5
﻿=== Social Share Icons &amp; Social Share Buttons,ultimate-social-media-plus,60000,0,1857,4.9
Ooyala,ooyala-video-browser,100,0,4,1.8
Sketchfab Embed,sketchfab-oembed,1000,0,3,3
Genesis Columns Advanced,genesis-columns-advanced,20000,0,23,4.8
GS Testimonial Slider,gs-testimonial,3000,0,24,3.9
Ultimate Addons for Beaver Builder &#8211; Lite,ultimate-addons-for-beaver-builder-lite,20000,0,272,5
EU DSGVO Helper,dsgvo,1000,0,3,4.7
Google Plus Badge &#8211; Google Widget,new-google-plus-badge,800,0,1,5
BP Auto Group Join,bp-auto-group-join,500,0,6,4
Captcha by BestWebSoft,captcha-bws,5000,0,5,4.2
Aparat Videos RSS Reader | GRAD,grad-aparat-rss,50,1,1,5
Coming Soon &#8211; Under Construction,coming-soons,400,0,7,5
Simple File List,simple-file-list,2000,0,7,4.6
Tockify Events Calendar,tockify-events-calendar,3000,0,16,4.4
Edge Gallery,edge-gallery,80,0,3,5
Easy Property Listings,easy-property-listings,6000,0,85,4.7
WP Protect Content,wp-protect-content,1000,0,12,4
Flowplayer HTML5 for WordPress,flowplayer5,3000,0,21,4
Beaver Builder Header Footer,bb-header-footer,10000,0,14,5
WP-Parsi JW Player,wp-parsi-jwplayer,300,0,3,5
AJAX Login and Registration modal popup + inline form,ajax-login-and-registration-modal-popup,5000,0,63,4.9
WP Latest Posts,wp-latest-posts,10000,0,50,4.2
Recencio Book Reviews,recencio-book-reviews,500,0,18,4.9
Modus YouTube Channel,modus-youtube-channel,100,1,1,5
Automatic Alternative Text,automatic-alternative-text,300,0,6,4.7
WordPress Game List,wpgamelist,100,0,4,4
Modal Window &#8211; create popup modal window,modal-window,9000,0,13,3.4
Publish to Schedule,publish-to-schedule,2000,0,19,4.2
Clearfy – WordPress optimization plugin and disable ultimate tweaker,clearfy,70000,0,141,4.6
StopBadBots,stopbadbots,10000,0,39,4.2
Admin Columns,codepress-admin-columns,100000,0,1135,4.9
Button Generator &#8211; easily Button Builder,button-generation,600,0,1,5
If&gt;So Dynamic Content,if-so,600,0,10,4.3
Grid Plus &#8211; Unlimited grid layout,grid-plus,7000,0,20,3.7
Web Directory Free,web-directory-free,500,0,7,4.9
Testimonials by BestWebSoft,bws-testimonials,400,0,3,5
WooCommerce JTL-Connector,woo-jtl-connector,700,0,3,5
Calendar by WD &#8211; Responsive Event Calendar,spider-event-calendar,20000,0,259,4.4
SendPress Newsletters,sendpress,8000,0,57,4.6
WooCommerce Addon for WP Courseware,woo-commerce-addon-for-wp-courseware,1000,0,4,3.8
Forget About Shortcode Buttons,forget-about-shortcode-buttons,40000,0,61,4.7
GS Projects,gs-projects,70,0,1,5
"Tab &#8211; Accordion, FAQ",tabbed,2000,0,17,4.4
Terms and Conditions Popup for WooCommerce,terms-and-conditions-popup-for-woocommerce,600,0,7,4.7
Smartsupp Live Chat,smartsupp-live-chat,10000,0,12,4.2
Frontend File Manager Plugin,nmedia-user-file-uploader,2000,0,32,3.8
Video Thumbnails,video-thumbnails,80000,1,87,4.7
TF Random Numbers,tf-numbers-number-counter-animaton,6000,0,25,4.8
Page Builder: KingComposer &#8211; Free Drag and Drop page builder by King-Theme,kingcomposer,90000,0,52,4.5
Search &amp; Filter,search-filter,30000,0,123,4.8
wp-pano,wp-pano,700,0,4,4
WPD Beaver Builder Additions,wpd-bb-additions,3000,0,10,5
Grid,grid,500,0,4,3.8
WPLMS BadgeOS,wplms-badgeos,3000,0,1,5
Bold Page Builder,bold-page-builder,20000,0,20,4.1
WP Accessibility Helper (WAH),wp-accessibility-helper,10000,0,46,4.8
Post SMTP Mailer/Email Log,post-smtp,100000,0,136,5
Custom Facebook Feed,custom-facebook-feed,200000,0,1143,4.8
WooCommerce Product Table by WooBeWoo,woo-product-tables,700,0,8,4
Custom Admin Page by BestWebSoft,custom-admin-page,900,0,8,5
Disqus Comment System,disqus-comment-system,100000,0,185,2.8
Battle Suit for Divi,ds-suit,1000,0,9,4.6
Launcher: Coming Soon &amp; Maintenance Mode,launcher,7000,0,11,3.8
Appointment Booking and Online Scheduling by vCita,meeting-scheduler-by-vcita,9000,0,97,3.8
EchBay Search Everything,echbay-search-everything,100,0,1,4
Portfolio by BestWebSoft,portfolio,3000,0,25,3.6
GS Youtube Gallery,gs-youtube-gallery,50,1,2,5
Error Log Viewer by BestWebSoft,error-log-viewer,1000,0,2,5
Live Chat with Facebook Messenger,fb-messenger-live-chat,30000,0,194,4.8
Custom Post Types and Custom Fields creator &#8211; WCK,wck-custom-fields-and-custom-post-types-creator,20000,0,90,4.7
Ezcape Video Flash Chat,tc-ezcape-chat,0,1,0,0
WP Ultimate Post Grid,wp-ultimate-post-grid,3000,0,16,4.1
Gantry 4 Framework,gantry,10000,0,14,3.9
Hola Free Video Player,hola-free-video-player,100,1,1,5
WriteShare Writing Community Platform,writeshare,300,0,16,4.8
ATUM Inventory Management for WooCommerce,atum-stock-manager-for-woocommerce,7000,0,65,4.8
Themedy Toolbox,themedy-toolbox,1000,0,2,5
Status and Order Tracking,order-tracking,6000,0,46,4.7
WordPress Bitcoin Payments &#8211; Blockonomics,blockonomics-bitcoin-payments,1000,0,27,4.4
WooCommerce Product Slider,tc-woocommerce-product-slider,1000,0,3,3.3
AntiHacker,antihacker,1000,0,1,5
Image Hover Effects &#8211; WordPress Plugin,image-hover-effects,5000,0,37,4.6
DSGVO Youtube,dsgvo-youtube,200,1,3,5
Sidebar Widgets by CodeLights,codelights-shortcodes-and-widgets,90000,0,34,4.6
Easy Lazy Loader,easy-lazy-loader,600,0,5,4.8
